"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",5,"6.3%","2.5%","8.8%","60%","100%",17,11,30,4.3,"62.7%","20.8%","0%",-108,180,-1.4,7.8,"23.0%",644,"22.1%","21.7%",0.36,0.17
"Ahri","Middle",1,"1.3%","2.5%","3.8%","100%","100%",6,2,7,6.5,"54.2%","28.6%","0%",312,334,14,8.8,"21.1%",765,"27.3%","22.0%",0.34,0.44
"Akali","Middle",5,"6.3%","6.3%","12.5%","40%","100%",29,15,26,3.7,"70.5%","23.1%","40%",-181,-128,-3.2,7.6,"21.7%",652,"23.8%","22.4%",0.28,0.21
"Alistar","Support",24,"30.0%","31.3%","61.3%","54%","29%",14,103,270,2.8,"77.6%","29.3%","29%",-76,66,-0.2,0.9,"1.7%",179,"6.6%","9.3%",1.86,0.31
"Ambessa","Top",18,"22.5%","30.0%","52.5%","39%","61%",58,66,87,2.2,"55.1%","19.9%","11%",-31,56,-0.9,7.9,"24.5%",656,"24.0%","21.9%",0.29,0.17
"Anivia","Middle",4,"5.0%","0.0%","5.0%","50%","100%",7,9,23,3.3,"68.2%","16.4%","0%",-301,-246,0,8.3,"24.0%",679,"23.0%","22.1%",0.42,0.28
"Annie","Middle",4,"5.0%","11.3%","16.3%","0%","100%",3,18,13,0.9,"55.2%","21.7%","50%",-7,157,0.3,7.1,"19.4%",602,"23.3%","20.1%",0.35,0.17
"Ashe","ADC",4,"5.0%","0.0%","5.0%","75%","75%",16,13,32,3.7,"66.7%","22.0%","25%",263,486,11.8,8.3,"26.4%",703,"23.1%","23.4%",0.45,0.45
"Aurora","Middle",16,"20.0%","26.3%","47.5%","44%","19%",61,42,95,3.7,"72.6%","17.1%","19%",-193,-225,-5.1,8,"23.2%",696,"27.1%","22.3%",0.29,0.26
"Aurora","Top",1,"1.3%","26.3%","47.5%","100%","100%",4,3,7,3.7,"57.9%","27.3%","0%",-108,-3,3,7.8,"22.9%",811,"28.9%","20.7%",0.55,0.16
"Azir","Middle",14,"17.5%","63.7%","81.3%","50%","36%",51,40,74,3.1,"61.6%","18.7%","14%",46,-13,-2.4,8.7,"26.8%",722,"25.9%","24.2%",0.45,0.28
"Bard","Support",12,"15.0%","28.7%","43.8%","50%","67%",13,34,144,4.6,"82.2%","19.8%","25%",12,57,0.2,1,"2.8%",247,"9.1%","10.4%",2.01,0.6
"Blitzcrank","Support",1,"1.3%","2.5%","3.8%","0%","100%",0,5,7,1.4,"63.6%","26.3%","0%",24,-87,-2,1,"2.3%",191,"9.3%","7.7%",2.2,0.47
"Braum","Support",16,"20.0%","18.8%","38.8%","50%","44%",8,58,198,3.6,"82.7%","25.7%","31%",49,-29,-0.6,1,"1.9%",230,"8.2%","9.8%",1.96,0.41
"Caitlyn","ADC",15,"18.8%","26.3%","45.0%","33%","47%",65,36,43,3,"72.0%","15.4%","7%",-23,-216,5.1,9.1,"29.9%",712,"29.6%","27.7%",0.41,0.29
