"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"T1",20,14,6,34.3,353,296,1.19,0.95,0.38,"4.6%",49.9,20.1,-154,"35%","50%","55%",3.3,"35%","40%","55%","64%","75%","65%","68%","50.8%","51.4%",3.57,1.37,1.61
"KT Rolster",16,12,4,33.9,285,200,1.43,0.89,0.53,"5.2%",56.2,18.8,548,"56%","63%","69%",3.6,"63%","56%","56%","59%","100%","63%","60%","50.1%","50.2%",3.62,1.45,1.67
"Top Esports",16,7,9,29.8,218,266,0.82,1.02,0.08,"-3.2%",55.5,-11.7,503,"56%","44%","31%",4.1,"44%","60%","50%","46%",,"44%","47%","49.9%","50.8%",3.38,1.24,1.47
"Gen.G",13,8,5,34.5,220,176,1.25,0.88,0.37,"3.8%",54.3,7.3,130,"38%","54%","62%",2.8,"62%","74%","31%","48%","25%","46%","59%","50.5%","51.3%",3.67,1.33,1.73
"CTBC Flying Oyster",12,5,7,32.3,171,179,0.96,0.9,0.19,"0.3%",46,-4.3,-287,"50%","42%","67%",4.8,"58%","42%","50%","49%",,"25%","36%","49.9%","49.8%",3.63,1.4,1.55
"Anyone's Legend",10,6,4,34.9,159,135,1.18,0.84,-0.29,"-0.8%",50.2,9.8,-12,"50%","90%","30%",4.2,"40%","47%","60%","51%","50%","50%","64%","49.6%","51.8%",3.72,1.4,1.66
"G2 Esports",10,5,5,31.5,119,129,0.92,0.79,-0.48,"-3.7%",43.8,6.2,-518,"50%","50%","60%",3.1,"50%","50%","50%","57%",,"40%","36%","49.8%","47.9%",3.18,1.17,1.69
"Movistar KOI",10,4,6,31.8,145,140,1.04,0.9,-0.1,"0.5%",50.8,-10.8,-63,"80%","40%","40%",2.8,"40%","57%","50%","44%","0%","40%","42%","49.8%","51.3%",3.37,1.07,1.63
"Hanwha Life Esports",9,5,4,35.2,157,140,1.12,0.94,0.02,"4.0%",45.9,9.7,88,"44%","56%","67%",3.6,"56%","52%","33%","52%","0%","56%","50%","50.3%","49.8%",3.64,1.38,1.77
"Bilibili Gaming",8,4,4,31.7,120,117,1.03,0.93,0.61,"6.3%",57.8,-7.8,284,"63%","50%","88%",3,"88%","25%","75%","43%",,"50%","56%","50.3%","53.6%",3.23,1.21,1.56
"FlyQuest",8,3,5,34.3,101,116,0.87,0.79,-0.06,"1.8%",58.3,-20.8,316,"38%","50%","38%",3,"63%","46%","75%","45%",,"50%","55%","50.0%","50.7%",3.33,0.84,1.35
"Vivo Keyd Stars",7,2,5,33.3,104,128,0.81,1,-0.73,"-5.8%",41.4,-12.8,-441,"57%","57%","43%",2.1,"43%","33%","29%","33%",,"0%","0%","49.5%","44.5%",3.15,1.02,1.51
"Team Secret Whales",6,2,4,32.2,78,93,0.84,0.88,0.14,"-4.1%",56.5,-23.1,458,"50%","67%","50%",2.8,"67%","78%","33%","54%",,"33%","38%","49.6%","50.0%",3.9,1.59,1.4
"100 Thieves",5,1,4,30.8,63,97,0.65,1.04,-1.4,"-11.5%",29.2,-9.2,-1314,"60%","0%","0%",1.6,"40%","33%","20%","26%",,"40%","40%","49.0%","44.6%",3.2,1.18,1.31
"Fnatic",5,1,4,28.5,44,83,0.53,0.89,-1.16,"-9.7%",34.1,-14.1,-756,"40%","20%","20%",1.8,"20%","33%","40%","38%",,"20%","20%","49.5%","44.1%",3.38,1.2,1.43
"PSG Talon",5,1,4,30,57,102,0.56,1.06,-1.09,"-13.1%",44.4,-24.4,-189,"40%","20%","20%",2.2,"20%","53%","80%","40%",,"20%","100%","48.9%","49.1%",3.4,1.26,1.3
